Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
6/7/2016,584.12,594.44,563,577.54,6705.918304,3889183.614,579.9628684
6/6/2016,573.8,586.02,573.8,584.5,4465.516121,2599632.512,582.1572338
6/5/2016,573.5,582,566,573.91,5415.934694,3104174.121,573.1557516
6/4/2016,569.93,588.71,558.54,573.8,6216.627193,3569801.443,574.2344413
6/3/2016,538,578.37,535.74,569.94,8801.774635,4918798.572,558.8416855
6/2/2016,536.95,540,529.13,538,3939.351328,2110034.267,535.629877
6/1/2016,532.37,542.87,525.49,536.95,5456.942657,2918877.943,534.8925445
5/31/2016,527.64,548.5,515,531.84,12071.18196,6465589.816,535.6219332
5/30/2016,517.6,535,510.01,527.64,6074.774706,3195665.507,526.0549834
5/29/2016,522.13,540,485,517.84,8215.674779,4268564.36,519.5634533
5/28/2016,470.58,529.08,468,519.41,12568.03112,6208198.252,493.9674474
5/27/2016,452.07,478.16,452.07,472.05,12234.20332,5759605.503,470.778959
5/26/2016,448.27,452.98,446.8,452.07,3768.498372,1695944.871,450.032003
5/25/2016,445.31,449.6,444.26,448.7,3663.315911,1639628.084,447.5803135
5/24/2016,442.63,446.37,441,443.97,3072.7786,1366675.343,444.7685699
5/23/2016,438.72,442.99,436.4,442.99,2625.600632,1157133.449,440.7119023
5/22/2016,442.72,443.47,435,438.8,2350.682063,1032621.869,439.2860629
5/21/2016,442.84,443.98,435.28,443.31,1916.434832,844578.2129,440.7028085
5/20/2016,436.3,444.41,435.06,442.72,3448.22731,1520946.416,441.0806712
5/19/2016,452.47,453.85,435.03,436.3,5961.115086,2667369.272,447.461462
5/18/2016,452.96,455.68,452,452.92,2608.231754,1184326.532,454.0725839
5/17/2016,454,456.09,452,453.08,3430.479466,1555633.961,453.4742085
5/16/2016,457.56,458,451.11,454,3248.192018,1479592.228,455.5125496
5/15/2016,456.3,458.08,454.72,457.56,1612.710567,736345.0146,456.588448
5/14/2016,456.42,457.25,453.51,455.57,1377.718323,628027.393,455.8460047
5/13/2016,455.2,456.82,452.04,455.91,2822.650519,1283980.607,454.8847258
5/12/2016,452.95,455.25,448.88,455.2,3453.492398,1560850.715,451.9629799
5/11/2016,450.88,457.99,450.32,452.91,3352.580504,1520976.994,453.6735188
5/10/2016,461.49,463,447.38,451.62,5746.157943,2608139.073,453.8926877
5/9/2016,457.75,464.79,455.62,460.82,3536.503889,1625816.358,459.724182
5/8/2016,458.97,459.69,455.95,458.21,1353.23222,619028.389,457.4443174
5/7/2016,458.98,461,455.95,458.07,2004.636856,918778.353,458.3265794
5/6/2016,448.5,463.97,447.03,458.48,5540.138894,2518562.048,454.6026907
5/5/2016,447.36,450,445.11,448.5,2569.593201,1150544.093,447.7534002
5/4/2016,451.18,451.68,444.15,446.63,3327.607274,1488189.72,447.2251673
5/3/2016,444.06,452,440.78,450.61,5576.9146,2496652.811,447.6763569
5/2/2016,452.99,453.8,438.59,444.06,6362.93159,2824163.351,443.846254
5/1/2016,448.43,453.78,446.84,453,1190.698151,537276.0567,451.2277576
4/30/2016,456.53,456.9,446.5,448.37,2419.582499,1091522.436,451.1201565
4/29/2016,449.94,456.53,445.62,456.53,2982.540779,1347430.827,451.7728095
4/28/2016,445.39,451,435,449.14,8736.25774,3884773.455,444.6724868
4/27/2016,467.39,469.03,443.2,445.38,7084.239871,3233410.836,456.423116
4/26/2016,462.29,469.87,462.13,467.42,4629.185487,2154820.588,465.4859034
4/25/2016,460.03,469.47,455.13,462.33,5607.188644,2589826.883,461.8761821
4/24/2016,451.92,470.02,447.06,460.02,7103.312549,3252973.561,457.9516301
4/23/2016,447.16,452.19,444.46,451.92,2250.035211,1008095.216,448.0353068
4/22/2016,451,451.36,442.96,447.7,5494.441157,2458441.083,447.4415164
4/21/2016,441.99,452.11,440,451,5421.156325,2417983.802,446.0273153
4/20/2016,435.7,444,433.11,442.13,7602.64665,3334632.035,438.6146283
4/19/2016,428.14,436.82,426.24,435.63,3798.237466,1634274.115,430.2717062
4/18/2016,427.15,430.01,425.8,428.14,3180.430772,1359481.312,427.4519426
4/17/2016,430.18,430.91,377.87,427.42,1502.86306,642520.6544,427.5310716
4/16/2016,429.29,432.87,381.47,430.69,1848.392762,794725.23,429.9547403
4/15/2016,424.4,430,423.07,429.45,4406.240862,1883221.873,427.3987581
4/14/2016,423.6,425.35,420.57,424.86,3863.799522,1637346.082,423.7657965
4/13/2016,425.32,426,422.27,423.93,3917.083834,1661013.31,424.0433394
4/12/2016,422.79,426.67,421,425.54,6082.734023,2581942.431,424.4707103
4/11/2016,420.4,422.8,418,422.69,3487.83251,1467164.563,420.6522415
4/10/2016,418.59,421.79,417.2,420.04,1779.828608,746886.3294,419.6394676
4/9/2016,417.75,418.71,412,418.24,3599.396693,1497170.372,415.950366
4/8/2016,419.99,423.99,416.26,417.75,4584.130993,1928359.909,420.6598615
4/7/2016,420.62,421.99,418.09,420,3216.81132,1352741.713,420.5225545
4/6/2016,422.71,422.9,420,421.03,2396.348371,1010238.993,421.5743443
4/5/2016,418.81,423,416.61,422.71,3956.556598,1665558.646,420.9616633
4/4/2016,418.51,419.85,416,418.75,3457.562743,1445848.175,418.1697579
4/3/2016,419.35,419.48,416.1,419.11,1337.673033,558989.7145,417.8821735
4/2/2016,416.31,420,416.01,419,2072.950501,867252.4684,418.3662215
4/1/2016,414.66,416.99,413.42,416.31,3736.772662,1552890.068,415.5698534
3/31/2016,413.68,416.99,411.4,414.66,3774.420828,1566080.967,414.9195435
3/30/2016,415.43,415.93,408.59,413.74,4824.854552,1990559.495,412.5636273
3/29/2016,422.87,424.37,407.22,415.95,5955.00099,2473866.214,415.4266671
3/28/2016,424.62,424.77,420.32,422.87,3283.791465,1388121.946,422.7192747
3/27/2016,416.96,427.99,415.77,424.77,5038.877533,2135073.916,423.7201444
3/26/2016,415.6,416.99,414,416.96,1253.006376,521077.5117,415.8618199
3/25/2016,415.17,416.92,412,415.7,2588.782723,1074765.818,415.1626201
3/24/2016,417.62,418.15,412.85,415.17,2776.608832,1155165.754,416.0347475
3/23/2016,416.39,419,413.44,417.62,4946.396511,2059556.012,416.3750333
3/22/2016,411.15,416.99,410.35,416.64,3950.155195,1638956.397,414.9093685
